maintenance_id,vehicle_id,date,service_type,cost_eur,description
45,11,2024-10-16,Tire Replacement,1611.44,Simple yourself without bed only often ready.
46,12,2023-08-13,Oil Change,1932.05,Strong wide risk nothing customer.
47,12,2023-12-19,Tire Replacement,1151.41,Concern cost beat back tax book.
48,12,2024-01-05,Engine Repair,504.62,Focus father space need physical land always.
49,13,2023-04-11,Brake Service,622.95,Could catch range my.
50,13,2024-03-15,Brake Service,185.53,Military feeling prepare still similar forget.
51,13,2024-06-17,Brake Service,882.42,Recently describe political weight and forget American alone.
52,14,2024-12-19,Tire Replacement,852.71,Reflect avoid road anything establish structure.
53,15,2023-04-21,Engine Repair,1508.51,Staff interest soon sometimes process.
54,15,2023-10-24,Tire Replacement,335.26,Drive power season specific fall though series.
55,15,2023-10-21,Tire Replacement,1162.46,Family here scene check.
56,15,2024-03-12,Brake Service,297.21,Join level finally anyone.
57,16,2024-06-13,Engine Repair,147.27,Receive drive power himself.
58,16,2024-11-04,Oil Change,210.33,Wind allow end fall.
59,16,2024-09-24,Oil Change,724.82,Oil morning kind per.
60,16,2024-06-30,Brake Service,307.8,Visit attention stay majority local quickly his.
61,16,2023-02-03,Tire Replacement,621.61,Standard least party activity.
62,17,2023-05-06,Engine Repair,1074.14,Money though participant ahead share find.
63,17,2024-05-29,Oil Change,492.81,Choose reality computer serious discuss already theory trial.
64,18,2023-05-29,Tire Replacement,1845.47,Recently could environmental base exactly.
65,18,2024-03-01,Oil Change,891.86,Magazine employee long my.
66,19,2024-05-16,Tire Replacement,218.5,Successful tough top remain her watch.
67,19,2023-06-01,Oil Change,1591.06,Arm generation business prepare full industry.
68,20,2024-10-22,Tire Replacement,1379.04,Power gun guess stage quickly represent official.
69,20,2024-02-04,Oil Change,229.98,Agree particularly center best meet them itself easy.
70,20,2023-02-19,Oil Change,788.42,See again mind up their raise natural.
71,20,2023-03-11,Brake Service,920.67,Vote office century consumer civil force door.
72,20,2024-06-15,Brake Service,1875.73,Happy spend group bit man personal score.
73,21,2023-05-17,Oil Change,1869.91,His west single fire economy law.
74,21,2023-05-23,Tire Replacement,1666.3,Candidate they probably get ready site.
75,22,2023-08-08,Brake Service,387.12,Method threat involve plan though Mr herself.
76,22,2024-11-17,Tire Replacement,858.46,True morning reason plan edge away fact.
77,22,2024-02-16,Tire Replacement,1385.91,Better great third budget.
78,22,2024-08-04,Tire Replacement,302.64,Him cold last lose reduce yourself.
79,23,2024-03-06,Tire Replacement,1550.35,Character animal keep oil western who.
80,23,2024-12-08,Oil Change,1477.59,Green skill Mrs over commercial.
81,23,2023-12-28,Tire Replacement,109.2,Listen send room visit.
82,24,2023-07-18,Tire Replacement,1058.33,Audience approach cover design reason campaign apply.
83,24,2024-12-12,Tire Replacement,1995.54,Value subject else.
84,25,2023-09-24,Brake Service,1665.39,Positive shake official future election.
85,25,2023-10-01,Brake Service,1753.11,Body huge direction call arm challenge.
86,25,2023-03-31,Oil Change,485.46,Age choose receive maintain follow economic.
87,25,2023-01-22,Brake Service,1984.01,Feeling condition scene station plant.
88,26,2023-05-23,Brake Service,993.3,Set animal expect PM model matter wife.
89,26,2023-05-09,Brake Service,158.11,Nature four civil tough specific system.
90,27,2023-08-26,Oil Change,261.12,Black offer shake they appear share.
91,27,2023-12-31,Engine Repair,119.18,Field within recently.
92,28,2023-04-04,Engine Repair,1317.09,Interesting world else Democrat claim rock.
93,29,2023-03-17,Oil Change,447.46,Trade response everybody still account.
94,29,2023-07-09,Engine Repair,1968.04,Couple for special.
95,30,2023-10-23,Brake Service,682.89,Force because factor performance take.
96,31,2024-02-21,Brake Service,331.41,Prepare law choice gun always rock purpose range.
97,31,2024-10-29,Tire Replacement,629.2,Program of office candidate clearly recently history.
98,31,2024-09-21,Oil Change,1794.43,Product Republican town.
99,32,2023-03-01,Engine Repair,530.59,Art example also.
100,32,2024-11-27,Tire Replacement,569.17,Everybody avoid money they challenge window.
101,32,2023-09-16,Oil Change,774.03,Hold decision or camera actually tax article.
102,33,2023-12-30,Tire Replacement,835.51,Story expert develop reflect friend travel behind.
103,33,2024-07-13,Oil Change,1063.7,Painting identify family quickly energy nor stop.
104,33,2024-10-11,Oil Change,1175.93,Four to may anyone.
105,33,2023-02-13,Oil Change,132.23,Around design order method modern high bag.
106,34,2023-06-03,Brake Service,1288.19,Road time low develop.
107,34,2023-02-03,Engine Repair,1104.88,Guy quickly head everyone rule include point clearly.
108,34,2023-09-22,Engine Repair,422.72,Prevent medical voice teacher.
109,34,2023-04-08,Brake Service,255.21,Perhaps consider simple boy.
110,35,2024-04-07,Brake Service,1949.78,Learn fund identify small long quality discover.
111,35,2023-05-20,Brake Service,1940.88,Direction policy would.
112,35,2023-01-02,Engine Repair,354.48,Budget half chance.
113,35,2023-10-04,Engine Repair,826.22,Scene attack huge bag game.
114,35,2023-05-16,Engine Repair,1420.73,Blood young management argue participant.
115,36,2024-01-04,Brake Service,1400.64,Interesting program speak around expert feel.
116,36,2023-02-27,Oil Change,1141.33,Begin hand drug difficult.
117,36,2023-10-04,Engine Repair,1284.45,Gun difference north.
118,36,2023-10-15,Brake Service,695.82,Camera view mouth high yet.
119,37,2023-07-18,Brake Service,612.67,Middle since difference second important of write start.
120,37,2024-03-16,Brake Service,1785.99,Person one physical.
121,37,2024-11-21,Oil Change,177.37,Whom stop stand life attorney success.
122,37,2023-01-18,Tire Replacement,827.14,Car skill red that.
123,37,2024-09-13,Engine Repair,1826.01,Environmental why chance be similar old.
124,38,2024-09-19,Engine Repair,1213.3,Only yet pressure far call this perform.
125,38,2024-11-12,Oil Change,168.28,Citizen pattern cup general.
126,38,2024-05-28,Engine Repair,793.15,Ten vote TV various off center.
127,38,2024-02-16,Tire Replacement,1330.94,Include song picture bad them newspaper black.
128,39,2024-06-20,Engine Repair,1944.67,Change mention less section.
129,39,2023-01-08,Oil Change,924.76,While perhaps pull focus.
130,39,2023-10-05,Engine Repair,356.2,Fund quickly positive better.
131,39,2024-06-12,Oil Change,1195.92,Section investment sense.
132,39,2023-09-25,Tire Replacement,1010.49,Community alone side outside.
133,40,2023-11-26,Engine Repair,909.94,Somebody term hour station add four plant.
