expense_id,route_id,date,type,amount_eur,description
194,2761,2023-01-10,Other,279.43,Within American cold relationship.
195,2761,2023-01-12,Other,346.88,Include answer beyond either much.
196,2761,2023-01-11,Other,303.55,Mind arm break point financial.
197,3291,2024-03-30,Maintenance,311.09,Red project hit loss within.
198,3291,2024-03-27,Fuel,252.61,Among pick opportunity television.
199,3291,2024-03-27,Fine,359.73,Car long behavior.
200,3291,2024-03-26,Other,95.37,Treat be view strategy get.
201,10044,2023-06-23,Other,59.78,Decade actually father very politics.
202,10044,2023-06-25,Toll,350.45,Shoulder marriage stand attention rather subject.
203,2627,2024-04-25,Fuel,240.64,Else only point mouth worry.
204,2627,2024-04-29,Maintenance,215.92,West big four large around art.
205,4610,2024-05-12,Fuel,469.45,Figure money white true.
206,4610,2024-05-09,Other,499.84,Item reduce short watch.
207,4610,2024-05-10,Toll,257.84,Wear else fire.
208,13284,2024-02-09,Other,246.23,Soldier set challenge house.
209,13284,2024-02-08,Fuel,137.91,Mouth year require foreign.
210,12473,2023-08-08,Fuel,322.46,Listen general something send wall.
211,12473,2023-08-10,Fine,23.57,Around with threat young hour authority.
212,12473,2023-08-10,Maintenance,226.06,Father coach tend kitchen before before.
213,12473,2023-08-09,Other,344.96,Often strong board ago believe itself.
214,11740,2023-03-25,Maintenance,281.92,Wall another end.
215,11740,2023-03-23,Toll,74.5,Hope yourself fly last.
216,11740,2023-03-22,Other,417.05,School per quality thought.
217,6662,2023-04-28,Maintenance,148.02,Mean total task.
218,6662,2023-04-27,Fine,96.8,Degree can father of south.
219,6662,2023-04-27,Fine,153.64,Boy suggest treat answer fine entire.
220,13940,2023-06-19,Fuel,408.44,Long best attack behind nearly fine.
221,7360,2023-01-24,Fine,447.58,Election similar on away.
222,7360,2023-01-24,Maintenance,416.23,Debate could town.
223,7360,2023-01-26,Fine,191.02,Few common year program.
224,7360,2023-01-24,Fine,137.78,Education sometimes create very third which.
225,3205,2024-11-20,Toll,52.95,Without upon radio myself toward economy.
226,3205,2024-11-20,Other,386.79,Study one ground.
227,3205,2024-11-20,Fuel,284.6,Him teach ago idea will carry.
228,11753,2023-01-07,Fuel,262.91,Focus else boy same science family.
229,11753,2023-01-06,Toll,487.72,Vote enter half stuff ago.
230,11753,2023-01-09,Toll,261.73,Have seat attention same.
231,6127,2024-10-29,Toll,353.36,Believe will heavy.
232,6127,2024-10-27,Toll,185.42,Feel guess receive.
233,14630,2023-08-13,Other,297.24,Only assume from picture science.
234,14630,2023-08-09,Fine,472.19,Provide few speak control.
235,14630,2023-08-09,Other,21.92,Huge level now we art claim.
236,2679,2024-12-01,Maintenance,413.83,Gas good discover college.
237,3709,2023-09-25,Toll,218.63,Director back people picture either coach.
238,9988,2024-09-15,Maintenance,151.67,Near science stop be maybe help.
239,2806,2024-01-24,Fuel,95.64,Fill fast hear.
240,2806,2024-01-24,Fine,320.84,Recent table model budget style herself.
241,1454,2024-10-08,Fuel,289.49,Result film stop tough summer.
242,14422,2024-07-19,Toll,138.2,Mouth buy long though imagine animal.
243,10000,2024-01-11,Toll,405.81,White indeed arm wall same property.
244,2320,2023-09-21,Maintenance,207.08,Present though American hold opportunity.
245,2320,2023-09-22,Fuel,485.99,Others upon heavy professional lose.
246,2320,2023-09-19,Fuel,220.64,Different democratic significant firm office.
247,13883,2023-07-22,Fuel,105.5,A recently senior program off involve.
248,13883,2023-07-22,Other,215.41,Outside heavy before think agency begin attention.
249,12609,2024-12-07,Other,277.2,Across help sure main maybe.
250,7334,2024-01-29,Other,308.17,Free similar goal explain necessary radio.
251,7334,2024-01-29,Maintenance,189.95,Financial town organization.
252,3652,2024-06-02,Other,287.96,Seek bad first avoid.
253,3652,2024-05-31,Fine,478.61,Camera tend who bit.
254,3652,2024-05-30,Other,400.08,Western early fight.
255,2289,2024-05-31,Maintenance,166.16,Quite magazine education star strategy.
256,3624,2024-12-24,Other,220.3,Nice common image.
257,3624,2024-12-28,Fuel,451.4,Whatever beat law.
258,3624,2024-12-27,Fine,431.66,Alone opportunity thus present according.
259,13619,2023-03-03,Maintenance,201.69,Run activity place alone four any.
260,13619,2023-03-04,Fine,310.74,Receive pay daughter become.
261,13619,2023-03-02,Fuel,446.85,Control story threat law.
262,4879,2024-10-07,Fuel,498.11,Study station throw there family.
263,1714,2024-05-22,Maintenance,329.41,Per film month.
264,1714,2024-05-20,Maintenance,413.62,Financial page pressure produce fine.
265,1714,2024-05-18,Maintenance,227.36,Pull news traditional anyone develop behavior.
266,14506,2023-04-19,Fuel,315.57,Community bad opportunity magazine test enjoy.
267,14506,2023-04-17,Fine,65.01,Where bill image partner.
268,14506,2023-04-18,Toll,487.28,Computer total product example through agree.
269,3590,2024-08-03,Fuel,38.97,Development show tell party exist the.
270,9467,2024-10-21,Toll,253.94,Democrat trouble particular truth financial source.
271,5156,2023-08-03,Toll,80.06,Speech sound Mr learn.
272,5156,2023-08-07,Maintenance,153.43,Bring ability less.
273,5156,2023-08-04,Fine,246.28,Reflect she president usually often room.
274,5156,2023-08-04,Toll,437.83,Six drive spend build state.
275,12595,2023-02-06,Fine,339.16,Reason avoid million number involve against.
276,13674,2024-09-16,Fuel,469.09,One few better.
277,3670,2024-12-28,Fuel,332.97,Choice standard peace need.
278,3670,2024-12-29,Other,223.2,Treatment west husband wife rate teach.
279,14325,2024-08-10,Other,397.53,Both successful common piece program effect.
280,14325,2024-08-10,Fine,168.25,Population inside those enter.
281,14325,2024-08-13,Other,170.74,Administration skin middle left great power.
282,13525,2024-04-17,Fine,247.69,Anything environment whole.
283,13525,2024-04-16,Fuel,274.53,Watch clearly company movement officer.
284,13525,2024-04-13,Fine,402.23,Over group star state real.
285,8385,2023-01-04,Maintenance,337.02,Significant per great.
286,8385,2023-01-04,Toll,352.26,Federal use wind part doctor get.
287,8385,2023-01-03,Toll,387.02,Challenge newspaper face join name.
288,8385,2023-01-05,Maintenance,33.57,Stock politics defense.
289,14211,2023-09-30,Toll,383.23,Weight present sure win cost.
290,4388,2023-11-12,Maintenance,495.43,Place customer to machine.
291,9124,2023-01-26,Other,73.99,Hard hotel play.
292,7895,2023-09-12,Maintenance,91.12,Simply camera most girl.
293,7895,2023-09-08,Maintenance,20.33,Already career happy establish whatever last.
294,7895,2023-09-12,Other,470.88,Family part themselves water.
295,7895,2023-09-11,Maintenance,132.64,Growth expect any strategy reveal money.
296,1490,2024-08-08,Other,286.64,Executive building PM.
297,1490,2024-08-10,Fine,165.89,But his different police else.
298,1490,2024-08-07,Toll,98.91,Security research agent.
299,1490,2024-08-08,Other,44.54,Anyone dream should move record.
300,1607,2024-07-16,Other,120.6,Three successful year language.
301,8595,2023-04-24,Maintenance,243.16,Become science trouble or anything growth three.
302,8595,2023-04-24,Fuel,270.97,Sister goal whole prove region.
303,8529,2024-02-23,Other,413.3,Police then speak top keep.
304,8529,2024-02-26,Toll,135.95,Eye official address represent.
305,8529,2024-02-23,Fine,227.87,What everyone kind.
306,8529,2024-02-24,Fine,95.51,Face those artist professional option himself.
307,1403,2023-10-18,Other,322.69,Include Mrs understand issue education red.
308,1403,2023-10-16,Maintenance,472.49,Still try shoulder weight push list.
309,9388,2023-05-15,Other,145.8,Bit film course we laugh what.
310,3520,2023-09-24,Other,214.44,Create down expert yourself.
311,3298,2023-11-26,Fine,58.76,Continue parent far family national owner.
312,1007,2023-07-21,Maintenance,121.79,On recognize box meet father.
313,1007,2023-07-21,Toll,453.25,Against kind firm.
314,2792,2023-01-17,Fine,321.58,Shoulder production my.
315,2792,2023-01-21,Fine,353.64,Design move have place eight store.
316,2705,2023-04-30,Fuel,83.63,Word wear write military gun.
317,2705,2023-04-29,Maintenance,277.66,No technology score now free.
318,5614,2023-12-20,Other,270.66,Remember less card ball dark.
319,5614,2023-12-22,Fuel,151.94,Answer art land believe.
320,14031,2023-07-27,Fine,416.69,Drug store exactly.
321,5684,2023-08-25,Fuel,336.01,Close world present try after son.
322,5684,2023-08-23,Maintenance,224.59,Action mouth check.
323,5684,2023-08-22,Fine,377.04,Box quite able.
324,5684,2023-08-25,Fuel,214.33,Page word herself late deal.
325,12288,2023-04-14,Maintenance,98.15,Sing sell above law service similar.
326,12288,2023-04-14,Other,197.34,Central treat indeed.
327,12288,2023-04-13,Fuel,162.52,Computer indeed follow.
328,5401,2024-05-28,Toll,339.39,Pretty pick fall apply good.
329,5401,2024-05-30,Maintenance,407.92,Expert require toward not traditional military.
330,5401,2024-05-30,Other,23.46,Those theory glass hard.
331,5401,2024-05-31,Other,94.29,Those good ok speak.
332,2358,2023-04-01,Toll,434.35,Too law claim eat society home.
333,2358,2023-04-03,Toll,401.7,Mr back since.
334,2358,2023-04-04,Maintenance,91.34,Stuff just read water.
335,2358,2023-04-03,Other,69.47,By foot only.
336,14681,2024-04-20,Toll,298.63,Never risk usually somebody president.
337,14681,2024-04-21,Other,376.24,Sure any reveal travel much.
338,14681,2024-04-19,Other,357.82,These follow couple key kid career.
339,291,2023-12-29,Fuel,352.57,Woman miss second receive.
340,291,2023-12-29,Other,55.01,Little then whose.
341,291,2023-12-30,Maintenance,389.78,Her message long.
342,291,2023-12-27,Maintenance,412.51,Best sell kitchen head television.
343,12535,2023-06-29,Other,339.96,Look should pressure able report operation.
344,5909,2023-05-17,Fine,276.61,Should every world argue before.
345,5909,2023-05-16,Toll,291.52,Big wide pass those nearly wind.
346,13819,2023-05-02,Toll,424.05,Audience radio degree professional once.
347,13819,2023-05-03,Fine,383.0,Coach student teach.
348,13819,2023-05-03,Fine,89.65,Close might start task product water.
349,6595,2023-03-12,Fuel,323.96,Happen friend answer growth.
350,6595,2023-03-14,Toll,416.71,Side race every evidence recent.
351,6595,2023-03-11,Toll,168.05,Bag word raise civil produce.
352,6595,2023-03-11,Fine,408.7,If company peace less difference rule.
353,89,2023-07-30,Toll,95.93,Leg suddenly win long leader.
354,12999,2023-08-13,Other,347.91,Ever purpose court likely however address.
355,2233,2023-11-02,Maintenance,183.33,Western perform memory.
356,2233,2023-11-02,Fine,181.92,Use coach reveal crime include free.
357,8274,2024-12-28,Maintenance,35.14,Moment positive growth attack game pressure.
358,8274,2024-12-28,Fine,225.72,Each moment foreign research less.
359,9323,2024-02-28,Maintenance,311.0,Southern half position almost.
360,9323,2024-02-28,Maintenance,306.26,Subject address all voice age.
361,9323,2024-02-27,Other,378.14,Glass tree simply record return site appear.
362,7965,2023-02-12,Fine,401.08,Center could himself grow factor.
363,9038,2024-02-23,Other,367.62,Writer court idea born.
364,9038,2024-02-22,Fuel,430.97,Painting two rate.
365,9038,2024-02-20,Other,75.24,Avoid treat evidence wind.
366,11409,2023-09-03,Maintenance,153.74,Event six bad.
367,8392,2023-01-24,Toll,225.75,For half lawyer human keep.
368,8392,2023-01-25,Fuel,265.58,Drive kid west lot tonight appear.
369,11750,2023-09-11,Maintenance,497.02,Price involve common near kitchen.
370,11750,2023-09-11,Fuel,367.21,Just reveal our cultural Mrs eight.
371,11750,2023-09-13,Fine,101.91,Offer place thousand perform particularly.
372,1057,2023-03-12,Toll,324.11,Respond other game story audience.
373,904,2023-07-25,Other,400.94,Face various sign job mother store.
374,904,2023-07-28,Maintenance,454.51,Enough that fill.
375,14221,2023-12-25,Toll,119.69,Market own buy old decision.
376,14221,2023-12-26,Fine,43.9,Whatever program down store.
377,14221,2023-12-25,Fuel,122.84,Fact necessary here discussion sometimes space.
378,13627,2023-08-31,Toll,474.09,True no audience above law music.
379,13627,2023-08-29,Other,378.0,Focus doctor more stand watch fall.
380,13627,2023-08-30,Toll,279.25,Apply suffer whom.
381,13627,2023-08-30,Maintenance,382.49,City window chair which enter.
382,2040,2023-08-05,Other,184.44,Major real agree my none religious clear.
383,1612,2024-06-10,Maintenance,149.09,Public market several.
384,1612,2024-06-10,Maintenance,194.72,Central world expert compare.
385,1612,2024-06-12,Toll,456.53,Bag prepare develop.
386,14520,2023-11-07,Fuel,301.48,Move imagine yeah recognize citizen my.
387,14520,2023-11-06,Maintenance,473.53,Call soon throw drug service.
388,737,2023-07-12,Fuel,172.39,Material stop oil four economic across.
389,737,2023-07-16,Fine,98.0,Power bring voice fish opportunity.
390,737,2023-07-14,Toll,299.42,Lot child hear respond century table.
391,5964,2023-05-15,Toll,127.01,Though much collection drive range color.
392,5964,2023-05-17,Other,80.16,College experience both executive.
393,5964,2023-05-16,Maintenance,330.27,Participant again site year much.
394,5964,2023-05-14,Toll,77.45,Lot call final decide teacher watch.
395,11876,2023-12-13,Other,93.42,Him camera peace system imagine issue.
396,11876,2023-12-09,Fuel,178.73,Be today process off.
397,7309,2023-03-12,Fuel,85.28,Movement tonight store reduce stuff.
398,9053,2024-09-13,Fuel,215.09,Candidate try sound course thousand sort.
399,6178,2024-01-07,Other,448.21,Concern line dog particularly direction face.
400,6178,2024-01-03,Maintenance,299.2,Billion close international week.
401,6178,2024-01-05,Fuel,415.48,Surface go media after sister.
402,13556,2024-02-05,Toll,215.32,Contain leader record once receive side.
403,13556,2024-02-08,Fuel,297.98,Reduce exist situation business body.
404,13556,2024-02-08,Fine,100.72,None difficult final lay wear forget.
405,2865,2023-01-26,Fuel,178.95,So early wall Democrat.
406,2865,2023-01-28,Toll,266.81,Particular interesting itself admit.
407,2865,2023-01-27,Maintenance,170.24,Maintain hundred radio free goal very.
408,2865,2023-01-24,Other,133.87,Add billion necessary pull discuss parent.
409,10057,2024-03-16,Other,89.36,Type thing other page.
410,10057,2024-03-12,Other,169.65,Mean easy put their property daughter.
411,10057,2024-03-15,Fuel,446.21,Suffer color pretty explain turn.
412,1419,2024-06-09,Toll,416.84,Morning ever stage ask.
413,1419,2024-06-09,Maintenance,333.18,One source great season whether dark.
414,5915,2023-12-01,Toll,342.11,Heart suggest red range.
415,4149,2023-02-24,Fuel,24.68,Wear individual fill team.
416,13110,2024-11-27,Fine,184.33,Ever no market common.
417,13110,2024-12-01,Other,346.61,Blood some information better.
418,13110,2024-12-01,Maintenance,463.07,Media put war truth.
419,13110,2024-11-30,Other,421.63,Organization opportunity bag project effect oil.
420,13686,2024-06-24,Toll,55.66,Enter suddenly community reality.
421,13686,2024-06-23,Toll,141.97,Produce school myself continue.
422,13686,2024-06-23,Maintenance,457.07,Side level world trade everyone smile.
423,1011,2024-01-27,Other,273.58,Seek mind guy indeed investment state.
424,1011,2024-01-28,Toll,324.93,The nice state form degree challenge.
425,1011,2024-01-30,Toll,498.86,Throw though last vote identify.
426,1011,2024-01-29,Maintenance,82.23,Line yard reveal.
427,8635,2023-12-07,Fuel,28.27,Three simple whole yes cup.
428,8635,2023-12-06,Fuel,428.31,Few close benefit development.
429,8635,2023-12-08,Fine,83.8,Pass father nor environment next many.
430,8635,2023-12-04,Fuel,289.52,Reality may soldier room.
431,7589,2023-08-29,Other,113.17,Make pass benefit face as.
432,7589,2023-08-27,Maintenance,351.2,Here face area effect American eat.
433,4190,2024-02-04,Other,317.16,Citizen lay far might smile.
434,4190,2024-02-01,Toll,447.26,His time charge.
435,14954,2023-02-22,Fine,446.02,Skill chance approach find hotel.
436,14954,2023-02-22,Other,424.0,Value eye yeah film degree.
437,14954,2023-02-21,Fuel,358.89,Suggest west risk chair response key.
438,10529,2024-09-30,Maintenance,216.67,Modern suffer impact southern sing social.
439,10529,2024-10-01,Other,460.37,About size past appear require choose.
440,9825,2024-09-25,Other,153.01,Employee phone indeed go local.
441,9825,2024-09-25,Fuel,350.77,Population the age.
442,5146,2023-02-09,Fine,334.45,Similar never be sound.
443,5146,2023-02-10,Other,141.55,Draw early foot production something hear.
444,5146,2023-02-11,Fuel,20.11,Art physical discussion system.
445,8938,2023-05-05,Fine,371.19,Maintain risk TV air admit.
446,8938,2023-05-07,Fine,179.91,Whose natural address building president.
447,8938,2023-05-07,Fuel,178.47,Lot nice make six.
448,9616,2024-03-01,Fuel,271.93,Situation audience positive study against picture argue.
449,9616,2024-02-28,Toll,494.91,Character term system behavior.
450,9616,2024-03-02,Fuel,23.88,Enough nice tonight see.
451,8701,2024-05-31,Fine,258.71,Speech energy people risk build guy.
452,8701,2024-05-31,Toll,307.6,Evidence fill moment travel bed loss especially.
