shipment_id,client_id,origin,destination,distance_km,weight_tons,price_eur,date_requested
73,11,Davidton,Johnside,1897.9,23.79,2887.65,2024-03-04
74,59,Carterville,West Elizabethberg,1572.3,6.73,879.85,2024-09-30
75,393,Lisaberg,Matthewchester,1431.7,6.23,882.7,2024-06-24
76,368,Charlesport,Richardtown,953.8,15.54,1741.02,2023-02-27
77,56,Jackland,New Carrie,330.6,20.66,802.76,2023-08-10
78,465,West Danielview,Lucasville,1467.8,23.29,3087.11,2024-10-23
79,39,New Lauren,North Joshua,2397.5,10.52,2523.46,2023-05-22
80,357,Port Jennifershire,Rebeccaport,1500.6,20.93,2104.29,2024-10-15
81,62,Goodwinton,Samanthachester,1942.6,21.41,3827.58,2023-03-20
82,273,Josephton,North Clinton,2000.8,14.58,1542.45,2023-03-14
83,175,North Patriciaton,Pachecofurt,1099.5,9.89,928.83,2024-04-01
84,222,West Erikside,North Matthew,81.0,11.08,75.67,2024-02-25
85,363,Lake Lisafort,Lake Jean,2403.9,16.25,4219.22,2023-05-24
86,334,South Adam,Barbaraborough,424.8,5.23,192.23,2023-05-12
87,248,North Russell,Leehaven,711.7,20.4,1272.88,2024-01-18
88,166,Derekshire,Bartlettport,1188.9,20.82,2264.23,2023-08-16
89,452,New Melissa,Lake Robertfort,2136.7,20.94,2508.55,2023-07-29
90,343,South Brittanyview,New Jack,1154.5,19.01,1972.81,2023-01-02
91,94,Lake Johnton,East Julie,978.5,1.69,181.19,2024-05-12
92,144,Lake Ralphborough,Susanshire,1244.5,9.52,806.64,2024-07-21
93,6,Lake Daniel,South Danielborough,2206.8,17.83,2728.29,2023-01-03
94,209,East Jennifer,Port Miguelchester,1315.7,5.59,492.0,2023-12-14
95,331,Scottborough,East Paul,1247.0,19.2,2354.56,2023-10-22
96,151,South Tracy,Samuelview,1794.0,11.76,1080.34,2023-05-27
97,298,Fordton,Lake Stephenport,592.9,17.6,745.42,2023-01-03
98,382,Rodriguezport,West Joshua,954.1,14.28,1009.08,2023-06-08
99,157,South Kristihaven,New Shawnport,1398.5,9.44,1079.41,2023-11-28
100,62,South James,Maryfurt,665.9,3.9,164.86,2024-05-15
101,99,South Jeffrey,North Kimberly,1870.1,23.82,4379.36,2023-07-29
102,390,Cruzside,North Joseph,580.1,12.62,737.36,2024-05-16
103,100,Hannahview,Julietown,1335.4,7.79,593.34,2023-10-16
104,363,East Rachelview,Port Susan,775.8,9.66,533.28,2023-02-18
105,284,Lake Tyler,East Susanmouth,1358.6,7.58,1217.25,2024-12-24
106,386,Bradleytown,Leeville,765.7,23.66,1714.74,2024-08-19
107,241,Jenniferchester,Heatherview,1252.7,21.95,2479.78,2024-07-23
108,130,Lake Richard,Codyfort,1222.8,9.18,1319.93,2024-03-31
109,206,East Mark,Michaelbury,2355.6,12.47,3159.15,2024-04-30
110,78,Trevorchester,Lake Charlesshire,1254.8,14.85,1827.07,2024-02-18
111,128,East Robert,East Stuartside,415.5,14.51,429.67,2024-11-26
112,405,North Erinside,Higginsbury,340.2,19.35,608.54,2024-07-27
113,466,East Nathan,West Alexandershire,1565.1,19.62,2352.99,2024-07-27
114,157,West Dawnmouth,North Matthew,1134.7,21.64,2929.45,2023-11-14
115,51,North Lindaside,North Thomas,1443.1,2.45,414.4,2023-07-03
116,339,Lake Katherine,Port Tracyborough,2371.6,5.99,920.14,2023-08-04
117,81,Clayville,New Brandishire,248.9,6.76,149.14,2024-09-10
118,150,South Heatherstad,Hawkinsburgh,56.6,11.81,61.21,2023-08-04
119,441,Lake Ashleyview,East Lynn,130.0,7.91,71.77,2023-01-21
120,404,Lake Harryborough,East Kenneth,1162.4,17.5,2332.69,2023-07-01
121,102,Perezberg,North Jessicaborough,1988.6,15.15,3201.73,2023-02-17
122,466,Marychester,Lake Bryan,1091.6,14.07,1464.22,2023-10-12
123,406,South Nicholas,West Austin,700.8,4.41,167.43,2024-11-30
124,148,Rodriguezburgh,North Eric,803.6,18.97,1369.62,2023-05-17
125,207,Perezburgh,Jenniferside,1125.9,12.25,983.2,2023-03-26
126,42,Oliviaburgh,South Roger,2359.6,13.01,2596.03,2024-11-17
127,310,Ramirezview,Lake Lauren,1515.2,22.35,3434.47,2024-04-19
128,429,East Richardfurt,Hoshire,663.4,3.19,248.31,2024-10-11
129,392,North Jerry,New Timothyshire,2158.3,15.09,1675.73,2023-03-31
130,388,North April,Port David,1697.1,7.47,669.57,2024-07-07
131,143,New Micheleside,East Amberland,479.2,13.46,522.17,2024-12-06
132,252,West Joseside,Port Gregory,494.6,15.05,702.95,2023-09-21
133,165,Hornborough,Port Kristy,2424.2,12.28,2339.39,2023-11-29
134,356,New Dylanmouth,South Jenniferside,1691.8,21.59,2669.55,2024-06-26
135,390,Stevenview,Anthonytown,1263.9,16.9,1666.75,2023-03-04
136,166,Port Elizabethtown,North Marcusshire,1397.7,11.92,1199.83,2024-08-28
137,423,Lake Jamesville,Bowersside,334.0,19.54,721.45,2023-03-04
138,212,Briantown,West Lawrence,2470.9,16.78,3647.86,2024-05-17
139,256,Port Robinport,Joseland,182.8,13.44,229.92,2024-06-06
140,282,New Elizabeth,Mitchellhaven,1582.3,19.24,1955.96,2024-02-28
141,249,East Gregoryport,West Nicolaston,371.0,7.91,327.68,2024-12-08
142,123,Mcdonaldton,North Ebonybury,347.5,24.36,784.05,2024-01-29
143,209,Danaland,Jenniferview,1789.0,8.46,771.23,2023-10-21
144,237,South Nicholas,East Robertview,278.4,24.81,786.75,2024-02-16
145,478,West Mike,West Kyleburgh,2370.3,16.55,2384.23,2024-02-02
146,428,Blairside,Lake Terrychester,1805.7,13.21,1649.21,2024-09-01
147,75,South Carrie,Montgomerytown,1232.1,12.33,1245.35,2023-06-11
148,451,East Caleb,Laurieville,989.8,23.12,1958.36,2024-08-22
149,438,Kinghaven,New Rosetown,384.4,2.68,107.23,2024-11-03
150,421,Suzanneburgh,Jimenezbury,1066.6,23.42,2136.81,2023-07-23
151,297,South Jennifer,New Deborah,56.3,18.43,112.71,2024-02-05
152,276,Johnland,Lake Ricardo,2497.3,12.75,1923.22,2023-11-07
153,194,Jessicahaven,Rickeyburgh,1236.6,8.98,1148.23,2024-06-10
154,358,South Katherine,West Jennifer,1165.6,8.72,642.42,2023-01-17
155,211,Lewisport,Christopherton,635.1,10.19,711.37,2024-10-18
156,416,Carterfurt,West Sophia,156.9,18.87,294.19,2024-09-30
157,334,Michelleton,South Kristina,984.0,24.72,2565.44,2023-10-18
158,258,Matthewburgh,Jamestown,2453.0,12.89,1662.9,2024-07-14
159,433,South Nicholaschester,Michellehaven,2415.1,8.97,1235.37,2024-06-03
160,370,Port Jeremiahville,Johnhaven,1128.8,13.62,1260.46,2024-03-23
161,39,Port Toni,Jessicaberg,403.2,21.9,1041.04,2024-02-07
162,355,Lake Haleyton,Gloriaton,1200.3,24.26,2146.07,2023-12-28
163,346,Johnborough,Port Madison,1023.8,2.93,218.98,2024-10-24
164,368,Brendaville,Chandlerberg,2155.4,10.12,1574.14,2023-05-31
165,317,North Codymouth,Griffithville,2224.2,12.71,2484.08,2024-09-17
166,117,New Theresabury,Lake Erikafort,217.6,16.15,402.26,2024-02-27
167,325,South Dawn,North Nicole,1879.6,11.42,1221.17,2023-06-18
168,154,Lake Chaseland,Changmouth,1774.5,3.41,373.02,2024-10-25
169,151,South Susanchester,North Rhondaborough,2263.4,2.1,502.55,2023-10-30
170,211,Port Anthonyville,Kimberlyville,928.2,11.34,706.22,2024-09-29
171,41,Port Carla,East Haleymouth,1436.5,20.02,1780.13,2024-03-02
172,255,Bakerport,Lake Rebeccatown,1543.3,10.18,1536.82,2024-01-02
173,131,South Micheal,Denniston,2286.4,4.43,833.4,2024-11-16
174,239,Cassandraville,Danielport,1175.9,17.0,2257.38,2023-03-01
175,227,South Alyssa,Maryshire,2258.0,17.26,2379.63,2023-06-25
176,493,Leeburgh,New Carolyn,2365.8,24.7,4145.44,2023-04-19
177,102,East Shannonmouth,Robertland,1089.6,7.0,832.67,2023-04-25
178,196,Lake Julieport,New Amanda,2498.5,21.48,3084.06,2023-07-18
179,152,Port Michaeltown,Johnfurt,1451.2,14.8,2566.34,2024-08-03
180,5,Burchton,North Juliechester,103.8,20.92,168.74,2023-11-29
181,26,North Sherryton,West Peter,1436.5,17.46,2561.47,2024-08-29
182,463,Port Monicatown,Mooremouth,2281.0,18.88,4663.91,2024-11-18
183,181,Shelbyborough,East Katrinaview,751.2,20.17,1401.45,2023-02-26
184,387,Michaelchester,South Ashley,586.6,5.56,220.29,2024-11-28
185,322,Colemanside,New Jason,1816.3,16.82,3320.3,2024-01-13
186,404,Kellyton,East Kevinside,288.1,16.06,244.11,2024-02-12
187,47,Deleonmouth,Johnside,1130.0,14.91,1706.15,2023-01-04
188,103,South Brandon,Lake Nicholas,2278.6,8.84,1593.0,2024-07-26
189,272,North Curtisstad,Vazqueztown,373.8,13.95,615.33,2024-07-16
190,468,New Michealshire,Port Keithshire,1279.4,7.54,593.45,2024-04-15
191,383,Lake Wandaview,South Katelyn,2070.5,12.56,2768.39,2023-05-22
192,39,Wangshire,Kaneport,2182.5,20.3,3667.69,2024-07-02
193,371,Davishaven,Dustinstad,394.9,24.2,1053.23,2024-10-06
194,286,Walshshire,East Mark,1702.3,10.54,1959.33,2024-03-25
195,275,Andrewhaven,Ashleyborough,946.1,19.98,963.57,2023-03-21
196,135,North Jackson,West Kimberly,352.8,9.85,355.96,2023-05-17
197,56,Powellside,South Cindytown,1482.2,20.74,3560.42,2024-08-25
198,483,Mooreville,Gallaghertown,1703.3,12.32,1959.3,2024-03-09
199,33,Thompsonborough,Annabury,1425.4,22.97,2144.42,2024-05-13
200,333,West Elizabeth,Debrahaven,1606.7,12.14,1932.5,2024-02-08
201,156,Port Loriport,West Susanville,1050.3,4.35,531.07,2023-04-18
202,276,Petersonside,South Brittany,2490.0,3.79,626.96,2023-04-21
203,381,South Donna,Port Andreashire,382.4,11.89,440.73,2023-10-06
204,373,Richardland,North Anna,1756.4,13.96,2234.05,2023-10-21
205,251,Garciaberg,Port Allison,428.6,10.96,267.43,2024-09-20
206,354,Tinaville,Meganview,1558.3,23.54,2552.43,2024-03-19
207,438,East Briana,Melissaview,957.8,11.64,1299.27,2023-11-06
208,462,Port Anthonyburgh,Goodwintown,938.6,24.54,1743.93,2024-05-01
209,98,Burkefurt,North Darrylfurt,2445.7,9.61,1830.19,2023-01-06
210,47,North Christopher,Port Cheryl,2422.1,23.78,6202.87,2024-01-27
211,11,North Sierrafurt,New Deborahland,1673.8,16.4,2519.95,2024-10-01
212,403,Port Joanton,Russellburgh,173.9,9.0,186.59,2023-08-16
213,107,Port Brandi,Mayberg,1433.2,2.65,393.32,2024-11-01
214,397,Jeffreyview,Andrefort,1486.6,20.51,2021.8,2023-02-09
215,440,Georgefurt,North Jennifer,411.5,22.61,467.05,2023-12-09
216,409,Lake Richard,Powersberg,2460.9,24.7,5337.77,2023-12-15
217,8,New Laurenfort,Livingstonton,477.5,16.87,417.31,2023-09-25
218,9,Port Kimberlytown,Zunigaside,927.7,19.92,1685.72,2023-05-06
219,270,East Jamesmouth,North Sharon,476.9,2.26,109.85,2023-07-24
220,186,Michaelburgh,West Ruth,328.4,2.53,67.61,2024-12-24
221,485,South Amyland,Smithburgh,1307.4,3.62,403.56,2023-11-08
222,338,North Carrietown,Rodriguezchester,1557.0,18.45,3263.71,2024-06-10
223,32,Davidfort,Nicholasborough,1327.6,11.99,1870.07,2023-07-04
224,56,Jonesside,Kurtshire,2496.5,21.34,4253.46,2023-06-19
225,42,Port Beth,East Michelleport,1251.2,22.83,1575.19,2023-02-08
226,320,Port Codyview,Wandabury,839.2,4.56,225.14,2024-02-01
227,306,Lake John,South Thomasville,1601.0,14.16,1649.55,2023-12-17
228,51,South Joyce,Contrerasburgh,1349.9,11.89,1482.73,2024-12-21
229,450,North Alexis,Lake Christopher,1993.1,3.75,716.24,2024-12-11
230,232,North Courtney,Aprilchester,1934.0,18.3,2302.32,2024-01-17
231,205,Jessicafort,Hallchester,2225.8,10.93,2625.46,2023-05-14
232,341,Port Lynn,North Melanie,1069.2,3.28,280.11,2024-11-04
233,243,Rickymouth,New Karen,674.5,23.89,1580.4,2023-05-18
234,50,South Kristenshire,Powellville,214.5,20.96,254.14,2024-07-27
235,31,Gravesfurt,Youngfurt,1874.2,9.94,1101.16,2023-12-19
236,63,Port Laura,Kathyfurt,1486.8,14.48,1573.23,2024-02-07
237,217,North Donna,East Jeffrey,1056.5,21.97,2689.7,2024-02-24
238,308,Emilyland,Sheltonstad,2176.8,18.31,4694.7,2023-09-29
239,80,Ambermouth,Lake Josephshire,815.5,3.49,243.39,2023-01-12
240,433,New Deniseburgh,New Dominicshire,1659.0,6.38,609.4,2023-04-27
241,116,Fischerton,Joeside,1412.9,3.76,369.22,2023-11-06
242,420,East Davidton,Laurenbury,2027.7,21.28,5101.05,2023-08-13
243,312,Proctorview,Deborahport,1573.2,17.2,2407.49,2024-05-29
244,93,Meghanhaven,Lake Christopherstad,2326.3,20.91,3342.81,2024-11-16
245,180,Riverston,Davisburgh,719.5,19.3,1590.09,2023-12-17
246,206,Westfort,New Kayla,65.0,21.88,127.49,2023-07-02
247,47,North Sarah,Hillland,220.5,18.78,488.75,2024-05-25
248,175,Lake Courtneymouth,Bishopfort,1878.0,6.16,918.4,2024-04-21
249,483,Port Cindy,Wagnerberg,435.7,8.48,268.63,2023-10-26
250,81,West Zachary,South Virginia,1440.6,3.04,235.1,2024-10-12
251,227,Erintown,Schneiderbury,1898.4,2.19,231.62,2023-01-30
252,140,Lake Josephtown,Karlafurt,1671.7,12.66,1713.06,2023-10-14
253,57,Ginashire,North Emilyburgh,578.1,13.3,570.21,2023-10-23
254,342,Port Julie,Josephburgh,744.0,17.28,1080.76,2023-08-06
255,29,Murrayfurt,East Michael,805.6,6.29,602.55,2024-12-26
256,71,Jacobbury,Lake Amanda,68.8,8.23,36.68,2024-09-25
257,255,Kristinebury,New Susan,1922.2,7.95,892.42,2024-03-23
258,361,West Richardview,Lake Erinmouth,1880.2,5.22,751.94,2024-12-18
259,182,Jenniferfort,West Paul,613.8,14.41,855.86,2023-05-25
260,10,South Sophia,Port Heather,226.6,21.68,260.18,2024-03-22
261,220,Curtishaven,New Jenniferstad,1176.4,2.87,242.8,2023-09-24
262,59,Lake Tracyview,Herringside,1454.8,18.03,2078.43,2023-10-12
263,486,New Lukefort,Mallorybury,1042.3,24.19,1564.01,2023-09-09
264,46,West Courtney,Lake Patriciashire,1564.4,20.97,3752.42,2023-01-06
265,206,South Carolburgh,East Adriennemouth,1119.9,3.54,319.13,2023-02-27
266,174,West Laura,Port Michaelfurt,1333.7,10.5,1004.35,2024-03-28
267,325,West Kellyville,Mariaborough,592.9,19.7,646.45,2023-08-27
268,179,Lake Glenn,Port Robert,329.4,13.24,494.63,2023-03-25
269,76,East Laurenmouth,Brandonview,910.2,24.0,2079.21,2024-07-19
270,309,Lake Michelle,West Stephanieland,628.9,4.51,180.98,2024-10-19
271,488,Gregoryfurt,Lake Brittanyfort,424.5,19.22,450.98,2023-01-28
272,390,New Jessicaberg,Smithstad,1943.5,12.86,2569.6,2024-03-12
273,330,Port Willie,Richardberg,1469.7,17.35,2849.38,2023-04-11
274,322,Angelachester,Brownmouth,1606.5,15.99,2838.45,2024-12-27
275,324,Sparksmouth,Ramirezburgh,824.5,11.55,788.74,2024-11-02
276,260,Mccarthyhaven,Tonyaview,791.9,7.59,324.16,2023-04-18
277,189,Jessicachester,Lauramouth,231.8,12.08,147.38,2024-02-25
278,438,Gregoryberg,Susanville,2087.7,2.84,655.15,2024-09-03
279,298,Duketown,Port Adam,271.2,15.26,318.31,2023-03-06
280,231,East Lauriestad,New Deborah,1408.1,20.0,3174.18,2023-01-31
281,310,East Davidville,Mirandaland,2277.2,14.72,2117.71,2023-06-30
282,53,West Matthewton,Lake Cynthia,1215.3,4.62,305.05,2023-06-11
283,44,Lake Craig,Justinhaven,2036.9,21.1,5104.44,2024-03-07
284,225,Cruzfort,South Sylvia,1286.1,5.14,445.17,2024-02-12
285,187,South Shane,Ballport,2477.9,13.58,3118.89,2024-06-20
286,174,Hernandeztown,West Meghan,963.5,7.79,590.05,2024-05-14
287,172,West Keith,New Jefferyburgh,1713.3,2.26,364.6,2024-07-27
288,146,Lake Dennisland,East Catherine,211.5,3.27,67.42,2024-07-03
289,309,Lake Kevinland,South Joannaland,667.4,21.44,1681.44,2024-11-13
290,73,South Jose,East Jennifer,2189.5,9.0,1789.1,2024-02-08
291,340,Andrewburgh,Powellland,2296.0,8.45,1861.04,2023-12-26
292,159,Thompsonburgh,Timothymouth,1010.3,15.28,1785.49,2024-05-31
293,66,Annaview,Taylorberg,1419.4,16.44,1703.3,2023-07-22
294,351,West Douglasland,Reyesside,1691.8,20.9,3596.47,2024-11-01
295,261,South Brianburgh,Hornefort,2285.5,3.24,717.78,2023-07-07
296,110,South Graceborough,Cobbborough,936.5,9.7,568.83,2023-05-17
297,71,Port Sara,Hunterberg,887.2,19.39,1091.35,2024-12-20
298,260,Lake Robert,North Jessica,429.6,8.1,365.96,2024-03-23
299,20,Dianeshire,Lake Kevinside,1938.6,21.04,4562.47,2024-09-12
300,306,East Peggy,Denisebury,1671.7,22.03,3434.62,2024-03-03
301,395,West Angela,Josephville,973.0,4.89,514.78,2024-09-05
302,23,Mclaughlinfort,East Lindsey,1580.6,22.66,3598.93,2024-01-15
303,228,North Ashley,Michelleshire,1056.6,17.23,1212.96,2023-08-14
304,120,Carrville,South Cassandra,1546.0,19.06,3090.06,2024-09-21
305,241,Smithshire,South Chad,1358.3,8.43,1220.66,2024-10-20
306,293,Johnmouth,Higginsborough,2264.7,5.66,1249.54,2023-02-13
307,196,Devonside,East Edward,2461.9,12.08,2073.58,2024-01-16
308,103,East Laurafurt,New Jacobton,1282.1,11.05,869.07,2024-09-22
309,329,West Kathleenfort,Stonehaven,2013.1,4.32,587.02,2024-11-17
310,365,Baileyborough,Elizabethstad,1227.4,9.91,1403.68,2024-11-01
311,391,Lake Amanda,Port Maryton,2122.4,21.43,3181.74,2023-05-24
312,426,West Tiffanybury,Brewershire,442.8,11.78,448.25,2023-06-06
313,231,Danielland,Maryburgh,1121.8,23.71,1743.3,2024-10-26
314,203,North Kimberlyshire,Port Sara,2217.3,23.33,4088.85,2023-06-13
315,192,Elizabethland,Jamesview,1279.9,6.66,1019.63,2024-03-31
316,366,North Cheryl,North Barbara,600.1,8.65,295.55,2024-05-22
317,147,East Gloriafort,New Tammyberg,1642.4,19.99,1957.81,2024-01-01
318,389,Lake Edwardberg,East Ericmouth,2297.6,12.34,3067.1,2023-11-05
319,41,Goodwinberg,North Catherineland,1778.6,11.77,1054.4,2023-11-15
320,482,South Richardberg,North David,96.6,6.18,36.1,2023-04-01
321,148,South Derekmouth,Randolphborough,1831.7,13.67,1446.85,2024-07-14
322,328,North Kelly,South Omar,632.2,3.92,165.27,2024-12-19
323,464,Lake Haroldport,East Kathyport,1995.1,11.97,1379.39,2023-06-11
324,295,North Justinside,Garrettberg,1274.6,13.87,1665.99,2023-05-17
325,315,Michelleshire,Tinaberg,642.7,4.45,228.93,2024-12-17
326,343,Nicholastown,Lake Melanie,914.4,14.7,848.33,2024-04-08
327,270,Francoland,Port Sarahshire,259.8,24.39,346.85,2023-09-29
328,11,Davidshire,Colonville,1383.0,19.87,2350.48,2024-04-08
329,192,Wilsonview,South Savannah,1006.6,12.28,1168.08,2023-06-27
330,177,Amberfurt,Kathrynberg,671.4,1.39,98.17,2024-03-02
331,298,West Shellyberg,East Veronicaton,640.8,16.77,615.29,2023-06-14
332,280,West Christinafort,New Troy,1851.2,8.98,882.78,2023-11-25
333,351,New Christine,Higginsland,879.4,16.43,1562.28,2023-02-16
334,416,Atkinstown,Perezberg,1188.3,17.69,1980.63,2023-12-01
335,19,Amandaville,Luisburgh,380.4,18.19,803.02,2024-10-29
336,22,East Jacquelineport,East Briantown,768.9,2.05,100.82,2024-10-04
337,418,Rebeccafurt,Elliottmouth,823.2,8.44,541.07,2024-04-23
338,98,Orozcoport,West Scottstad,1380.4,7.08,1004.01,2023-10-14
339,336,Ronaldburgh,West Timothy,751.0,21.69,868.97,2023-10-16
340,456,Port Lisa,Hamiltonville,863.2,3.99,260.93,2023-03-24
341,174,Port Davidhaven,North Jaredchester,1030.1,11.55,1391.47,2023-02-04
342,474,North Shannon,Kathrynland,2435.6,12.91,2667.25,2024-03-06
343,218,South Zachary,New Connorstad,2003.4,7.4,826.99,2024-01-15
344,280,East Brittanyville,Janetmouth,243.4,15.46,404.76,2023-12-14
345,152,New Brad,Garciaton,769.7,3.46,194.29,2023-03-07
346,354,West Christopher,Port Monicastad,800.9,15.46,988.42,2023-12-25
347,467,Travisborough,Thompsonborough,1137.6,11.73,1346.11,2024-02-17
348,406,New Ryanstad,Seanchester,913.8,24.96,1578.78,2023-01-20
349,187,Tylerborough,New Adamborough,2372.4,2.8,628.57,2024-04-08
350,16,New Richard,Weekschester,1307.1,19.0,1519.87,2024-06-05
351,18,Kimberg,West Brendahaven,399.8,15.58,652.11,2024-11-22
352,186,Lake Melissa,North Brianview,359.3,6.66,227.72,2023-07-06
353,348,Colemanport,Courtneytown,988.0,14.61,1333.14,2023-11-10
354,40,Port Darrenmouth,Estradaville,1152.3,9.9,924.89,2024-08-09
355,333,Benjaminview,New Kayla,1456.1,13.71,1554.38,2024-12-10
356,96,Port Jenniferview,West Johnland,732.8,24.05,913.16,2024-03-04
357,135,North Jonathan,Port Brittanyfort,1272.7,10.29,1169.7,2023-09-03
358,314,Loganhaven,Fowlerland,1948.7,17.9,2268.01,2024-12-22
359,63,Garzaville,Reyesside,749.7,23.0,1455.04,2023-06-04
360,366,Curtisfurt,East Javierport,382.5,2.78,66.02,2024-08-05
361,433,Castilloview,East Mariah,1140.5,3.11,346.66,2023-02-08
362,282,Samuelborough,Brandiville,2467.1,17.03,4187.52,2024-08-15
363,365,Romanland,Frederickchester,1378.3,22.39,3382.13,2024-04-19
364,186,North Jason,New Stevenside,1788.4,17.81,1980.72,2024-10-20
365,72,North Christopher,Port Erictown,1296.5,3.91,324.78,2024-10-17
366,294,Codyside,East Mikeshire,630.0,12.86,609.76,2024-05-04
