companyName,country,city,Year_,Month_,TotalQuantity,TotalRevenue,TotalFreightCosts,TotalNetRevenue
"Victuailles en stock",France,Lyon,2013,10,18,144.8,17.12,127.68
"Hungry Owl All-Night Grocers",Ireland,Cork,2013,10,86,2545.2,168.44,2376.7599999999998
"Princesa Isabel Vinhos",Portugal,Lisboa,2013,10,18,316.8,15.51,301.29
Frankenversand,Germany,München,2013,10,297,4767.8,760.6200000000002,4007.18
"Old World Delicatessen",USA,Anchorage,2013,10,35,934.5,168.42,766.08
"Simons bistro",Denmark,Kobenhavn,2013,10,17,412,53.56,358.44
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2013,10,69,1586,331.11,1254.8899999999999
"White Clover Markets",USA,Seattle,2013,11,105,2856,46.58,2809.42
QUICK-Stop,Germany,Cunewalde,2013,11,268,5198.4,1113.52,4084.8799999999997
"Rattlesnake Canyon Grocery",USA,Albuquerque,2013,11,56,1731.2,284.16,1447.04
"Familia Arquibaldo",Brazil,"Sao Paulo",2013,11,70,928,12.4,915.6
"Die Wandernde Kuh",Germany,Stuttgart,2013,11,102,1502.4,111.69,1390.71
"Split Rail Beer & Ale",USA,Lander,2013,11,24,141.60000000000002,8.63,132.97000000000003
"La maison d'Asie",France,Toulouse,2013,11,73,1165.4,187.29999999999995,978.1000000000001
"Ernst Handel",Austria,Graz,2013,11,198,7511.8,1057.1200000000001,6454.68
"Furia Bacalhau e Frutos do Mar",Portugal,Lisboa,2013,11,30,154,2.6,151.4
"Piccolo und mehr",Austria,Salzburg,2013,11,62,10741.6,721.26,10020.34
"Pericles Comidas clásicas",Mexico,"Mexico City",2013,11,16,568.8,107.6,461.19999999999993
"Around the Horn",UK,London,2013,11,50,480,83.9,396.1
LILA-Supermercado,Venezuela,Barquisimeto,2013,11,54,1360,104.64000000000001,1255.36
"Seven Seas Imports",UK,London,2013,11,206,3654.4,865.29,2789.11
"Blondesddsl père et fils",France,Strasbourg,2013,11,138,7390.2,658.5,6731.7
"Bon app'",France,Marseille,2013,11,94,1549.6,288.12,1261.48
"Drachenblut Delikatessen",Germany,Aachen,2013,11,44,447.2,91.62,355.58
"Eastern Connection",UK,London,2013,11,35,950,143.94,806.06
"Antonio Moreno Taquería",Mexico,"Mexico City",2013,11,24,403.20000000000005,22,381.20000000000005
"Galería del gastrónomo",Spain,Barcelona,2013,11,10,136,20.28,115.72
Vaffeljernet,Denmark,Århus,2013,11,76,834.1999999999999,54.2,779.9999999999999
"Split Rail Beer & Ale",USA,Lander,2013,12,76,3391.2,484.23999999999995,2906.96
"Chop-suey Chinese",Switzerland,Bern,2013,12,65,1174,3.51,1170.49
"La maison d'Asie",France,Toulouse,2013,12,6,91.19999999999999,0.45,90.74999999999999
"Queen Cozinha",Brazil,"Sao Paulo",2013,12,164,12281.2,3563.12,8718.080000000002
"Hungry Owl All-Night Grocers",Ireland,Cork,2013,12,204,3127.7999999999997,388.3599999999999,2739.4399999999996
"Wolski  Zajazd",Poland,Warszawa,2013,12,45,459,7.88,451.12
"Hungry Coyote Import Store",USA,Elgin,2013,12,45,780,100.92,679.08
"Mère Paillarde",Canada,Montréal,2013,12,42,420,20.39,399.61
"Seven Seas Imports",UK,London,2013,12,115,2290,149,2141
"Folk och fä HB",Sweden,Bräcke,2013,12,6,103.19999999999999,5.44,97.75999999999999
"Que Delícia",Brazil,"Rio de Janeiro",2013,12,44,959.2,135.09,824.11
LILA-Supermercado,Venezuela,Barquisimeto,2013,12,14,112,7.99,104.01
"Ernst Handel",Austria,Graz,2013,12,334,5175.2,979.37,4195.83
"Around the Horn",UK,London,2013,12,55,899,102.72,796.28
"Berglunds snabbköp",Sweden,Luleå,2013,12,43,2222.3999999999996,337.28,1885.1199999999997
"Familia Arquibaldo",Brazil,"Sao Paulo",2013,12,25,166,27.98,138.02
"Santé Gourmet",Norway,Stavern,2013,12,48,1058.4,374.52,683.8800000000001
"Bottom-Dollar Markets",Canada,Tsawassen,2013,12,81,1832.8,189.68,1643.12
"Drachenblut Delikatessen",Germany,Aachen,2013,12,18,86.39999999999999,5.45,80.94999999999999
"Piccolo und mehr",Austria,Salzburg,2013,12,50,1440,122.46,1317.54
"Save-a-lot Markets",USA,Boise,2013,12,326,6038.6,811.1199999999999,5227.4800000000005
HILARION-Abastos,Venezuela,"San Cristóbal",2013,12,106,2333.2000000000003,553.23,1779.9700000000003
Frankenversand,Germany,München,2013,12,121,1903.8000000000002,406.04999999999995,1497.7500000000002
"Princesa Isabel Vinhos",Portugal,Lisboa,2013,12,28,843.1999999999999,120.52,722.68
Vaffeljernet,Denmark,Århus,2013,12,139,1765.6,109.44,1656.1599999999999
"Eastern Connection",UK,London,2014,1,86,3063,251.79000000000002,2811.21
"Rattlesnake Canyon Grocery",USA,Albuquerque,2014,1,168,3868.6,50.04,3818.56
"Ernst Handel",Austria,Graz,2014,1,411,9515.4,2118.46,7396.94
"Magazzini Alimentari Riuniti",Italy,Bergamo,2014,1,100,1675,467.90999999999997,1207.0900000000001
LINO-Delicateses,Venezuela,"I. de Margarita",2014,1,50,400,34.82,365.18
"Queen Cozinha",Brazil,"Sao Paulo",2014,1,89,2018.2,540.2,1478
"Ottilies Käseladen",Germany,Köln,2014,1,60,1194,274.44,919.56
"Folies gourmandes",France,Lille,2014,1,51,1622.4,33.78,1588.6200000000001
"Océano Atlántico Ltda.",Argentina,"Buenos Aires",2014,1,24,319.20000000000005,59.66,259.5400000000001
"Bottom-Dollar Markets",Canada,Tsawassen,2014,1,269,4533.5,208.26,4325.24
"Wartian Herkku",Finland,Oulu,2014,1,70,1092,71.92999999999999,1020.07
"La maison d'Asie",France,Toulouse,2014,1,108,2603.2,302.84000000000003,2300.3599999999997
"Familia Arquibaldo",Brazil,"Sao Paulo",2014,1,68,231.4,42.96,188.44
"Hungry Coyote Import Store",USA,Elgin,2014,1,22,102.4,0.4,102
"Simons bistro",Denmark,Kobenhavn,2014,1,123,11283.2,281.16,11002.04
QUICK-Stop,Germany,Cunewalde,2014,1,146,1814.8,70.2,1744.6
"Richter Supermarkt",Switzerland,Genève,2014,1,80,2208,274.7,1933.3
"Wellington Importadora",Brazil,Resende,2014,1,50,1897.6,176.48,1721.12
"Que Delícia",Brazil,"Rio de Janeiro",2014,1,59,1273.2,396.92,876.28
"Franchi S.p.A.",Italy,Torino,2014,1,2,49.8,3.02,46.779999999999994
"Gourmet Lanchonetes",Brazil,Campinas,2014,1,34,1020,49,971
"Mère Paillarde",Canada,Montréal,2014,1,139,11493.2,1111.83,10381.37
"Galería del gastrónomo",Spain,Barcelona,2014,1,12,338.20000000000005,37.38,300.82000000000005
"Piccolo und mehr",Austria,Salzburg,2014,1,35,651,31.29,619.71
"Reggiani Caseifici",Italy,"Reggio Emilia",2014,1,20,192,11.09,180.91
"Hungry Owl All-Night Grocers",Ireland,Cork,2014,1,75,1748.5,113.26,1635.24
"Split Rail Beer & Ale",USA,Lander,2014,1,50,485,8.68,476.32
"Princesa Isabel Vinhos",Portugal,Lisboa,2014,2,28,851.1999999999999,73.83,777.3699999999999
"Folk och fä HB",Sweden,Bräcke,2014,2,49,594.8,68.38,526.42
"Consolidated Holdings",UK,London,2014,2,32,631.6,27.630000000000003,603.97
"Blondesddsl père et fils",France,Strasbourg,2014,2,168,4049,786.5399999999998,3262.46
"Wartian Herkku",Finland,Oulu,2014,2,140,3077,741.77,2335.23
"Toms Spezialitäten",Germany,Münster,2014,2,100,841.1,83.44,757.6600000000001
"Mère Paillarde",Canada,Montréal,2014,2,67,1078,16.28,1061.72
"Save-a-lot Markets",USA,Boise,2014,2,323,7889.1,626.64,7262.46
"Old World Delicatessen",USA,Anchorage,2014,2,50,1755,73.02,1681.98
"Ernst Handel",Austria,Graz,2014,2,170,1792,143.82,1648.18
"Reggiani Caseifici",Italy,"Reggio Emilia",2014,2,18,537.5999999999999,27.9,509.69999999999993
"Berglunds snabbköp",Sweden,Luleå,2014,2,84,1206.6000000000001,32.6,1174.0000000000002
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2014,2,77,914.4,205.98,708.42
"Rancho grande",Argentina,"Buenos Aires",2014,2,26,443.4,77.64,365.76
"Victuailles en stock",France,Lyon,2014,2,102,2219.4,89.73,2129.67
QUICK-Stop,Germany,Cunewalde,2014,2,238,4277.4,756.36,3521.0399999999995
"Around the Horn",UK,London,2014,2,40,453,50.72,402.28
"La maison d'Asie",France,Toulouse,2014,2,50,414,8.22,405.78
"Königlich Essen",Germany,Brandenburg,2014,2,97,2240,27.81,2212.19
"Suprêmes délices",Belgium,Charleroi,2014,2,145,3891,735.3,3155.7
LILA-Supermercado,Venezuela,Barquisimeto,2014,2,128,2051.6,445.83000000000004,1605.77
"Consolidated Holdings",UK,London,2014,3,22,156.00000000000003,12.34,143.66000000000003
"Suprêmes délices",Belgium,Charleroi,2014,3,208,2484.1,235.12,2248.98
"Furia Bacalhau e Frutos do Mar",Portugal,Lisboa,2014,3,91,2153.3,389.91999999999996,1763.38
Vaffeljernet,Denmark,Århus,2014,3,118,2719,725.1999999999999,1993.8000000000002
"Comércio Mineiro",Brazil,"Sao Paulo",2014,3,15,216,23.86,192.14
"Magazzini Alimentari Riuniti",Italy,Bergamo,2014,3,40,235.2,9.86,225.33999999999997
"Königlich Essen",Germany,Brandenburg,2014,3,23,717.6,88.24,629.36
"White Clover Markets",USA,Seattle,2014,3,142,1829.5,211.1,1618.4
"Bon app'",France,Marseille,2014,3,53,1820.8,193.68,1627.12
"B's Beverages",UK,London,2014,3,77,1714.2,111.82,1602.38
"Seven Seas Imports",UK,London,2014,3,98,1051.1999999999998,8.4,1042.7999999999997
"Island Trading",UK,Cowes,2014,3,24,230.39999999999998,32.74,197.65999999999997
"Pericles Comidas clásicas",Mexico,"Mexico City",2014,3,61,1249.1,333.96,915.1399999999999
HILARION-Abastos,Venezuela,"San Cristóbal",2014,3,186,4617.599999999999,730.98,3886.6199999999994
"Princesa Isabel Vinhos",Portugal,Lisboa,2014,3,56,672,39.06,632.94
"Victuailles en stock",France,Lyon,2014,3,20,496,4.81,491.19
"Rattlesnake Canyon Grocery",USA,Albuquerque,2014,3,148,10495.6,2835.8,7659.8
"Folies gourmandes",France,Lille,2014,3,42,756,2.7,753.3
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2014,3,64,1472,128.66,1343.34
"Lazy K Kountry Store",USA,"Walla Walla",2014,3,10,147,7.48,139.52
LINO-Delicateses,Venezuela,"I. de Margarita",2014,3,130,1760,257.8,1502.2
"Queen Cozinha",Brazil,"Sao Paulo",2014,3,59,925.1,213.20999999999998,711.8900000000001
Frankenversand,Germany,München,2014,3,50,1560,9.86,1550.14
"Piccolo und mehr",Austria,Salzburg,2014,3,33,502.20000000000005,10.58,491.62000000000006
"Bottom-Dollar Markets",Canada,Tsawassen,2014,4,80,896,125.78,770.22
"La maison d'Asie",France,Toulouse,2014,4,55,1226.8,117.28,1109.52
"Comércio Mineiro",Brazil,"Sao Paulo",2014,4,30,912,65.99,846.01
"Laughing Bacchus Wine Cellars",Canada,Vancouver,2014,4,35,278,13.950000000000001,264.05
"Tradição Hipermercados",Brazil,"Sao Paulo",2014,4,20,200,46.77,153.23
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2014,4,173,4038.3999999999996,289.94999999999993,3748.45
HILARION-Abastos,Venezuela,"San Cristóbal",2014,4,49,575,89.25,485.75
LILA-Supermercado,Venezuela,Barquisimeto,2014,4,45,1412,204.04,1207.96
"Blauer See Delikatessen",Germany,Mannheim,2014,4,23,285.8,9,276.8
"Pericles Comidas clásicas",Mexico,"Mexico City",2014,4,57,816.3,207.95999999999998,608.3399999999999
"Hungry Owl All-Night Grocers",Ireland,Cork,2014,4,215,4663,221.82,4441.18
"White Clover Markets",USA,Seattle,2014,4,59,1388.5,236.52,1151.98
"Mère Paillarde",Canada,Montréal,2014,4,3,147.89999999999998,7.13,140.76999999999998
"Königlich Essen",Germany,Brandenburg,2014,4,32,462,42.38,419.62
"Antonio Moreno Taquería",Mexico,"Mexico City",2014,4,30,881.25,94.9,786.35
"Ottilies Käseladen",Germany,Köln,2014,4,20,240,9.98,230.02
"Save-a-lot Markets",USA,Boise,2014,4,72,4735.4400000000005,735.26,4000.1800000000003
"Bon app'",France,Marseille,2014,4,110,3000,1051.92,1948.08
"Familia Arquibaldo",Brazil,"Sao Paulo",2014,4,37,618,14.12,603.88
"Die Wandernde Kuh",Germany,Stuttgart,2014,4,105,2427.5,316.95000000000005,2110.55
"Ernst Handel",Austria,Graz,2014,4,233,8623.45,3949.75,4673.700000000001
QUICK-Stop,Germany,Cunewalde,2014,4,286,10588.5,1022.35,9566.15
North/South,UK,London,2014,4,16,352,96.21000000000001,255.79
"Tortuga Restaurante",Mexico,"Mexico City",2014,4,29,4150.05,654.45,3495.6000000000004
"Chop-suey Chinese",Switzerland,Bern,2014,4,66,2356,275.28000000000003,2080.72
"Santé Gourmet",Norway,Stavern,2014,4,13,200,26.74,173.26
"Cactus Comidas para llevar",Argentina,"Buenos Aires",2014,4,19,225.5,51.66,173.84
"Seven Seas Imports",UK,London,2014,5,148,4623.9,667.38,3956.5199999999995
"Berglunds snabbköp",Sweden,Luleå,2014,5,87,3192.65,979.16,2213.4900000000002
"Bon app'",France,Marseille,2014,5,45,846,22.12,823.88
"Wartian Herkku",Finland,Oulu,2014,5,137,2890.3,923.22,1967.0800000000002
QUICK-Stop,Germany,Cunewalde,2014,5,448,16043.2,4628.079999999999,11415.120000000003
"Great Lakes Food Market",USA,Eugene,2014,5,20,396.2,10.05,386.15
"Maison Dewey",Belgium,Bruxelles,2014,5,44,946,200.07,745.9300000000001
"Piccolo und mehr",Austria,Salzburg,2014,5,135,4180,1356.88,2823.12
"Océano Atlántico Ltda.",Argentina,"Buenos Aires",2014,5,2,110,8.12,101.88
"Eastern Connection",UK,London,2014,5,39,796.35,148.92,647.4300000000001
"Folk och fä HB",Sweden,Bräcke,2014,5,98,2295.2,564.12,1731.08
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2014,5,130,2602.4,319.34000000000003,2283.06
"Antonio Moreno Taquería",Mexico,"Mexico City",2014,5,80,2156.5,62.56,2093.94
"Richter Supermarkt",Switzerland,Genève,2014,5,86,1823.8,394.25,1429.55
"B's Beverages",UK,London,2014,5,52,495.3,59.18,436.12
"Hanari Carnes",Brazil,"Rio de Janeiro",2014,5,84,2162.8,274.6,1888.2000000000003
"Königlich Essen",Germany,Brandenburg,2014,5,39,493.8,21.9,471.90000000000003
LILA-Supermercado,Venezuela,Barquisimeto,2014,5,100,1770,96.34,1673.66
"Lonesome Pine Restaurant",USA,Portland,2014,5,14,417.2,49.82,367.38
"Lazy K Kountry Store",USA,"Walla Walla",2014,5,10,210,11.92,198.08
"Victuailles en stock",France,Lyon,2014,5,80,2812,584.16,2227.84
"Toms Spezialitäten",Germany,Münster,2014,5,24,275.1,2.86,272.24
"Godos Cocina Típica",Spain,Sevilla,2014,5,34,749,17.28,731.72
"Furia Bacalhau e Frutos do Mar",Portugal,Lisboa,2014,5,100,1836,218.85000000000002,1617.15
HILARION-Abastos,Venezuela,"San Cristóbal",2014,5,48,880.5,166.44,714.06
"Ottilies Käseladen",Germany,Köln,2014,5,80,1819.5,483.88,1335.62
"Save-a-lot Markets",USA,Boise,2014,6,143,3680.5,1262.45,2418.05
"Simons bistro",Denmark,Kobenhavn,2014,6,24,835.1999999999999,9.8,825.4
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2014,6,50,1152.5,193.44,959.06
"Around the Horn",UK,London,2014,6,96,2142.9,364.85,1778.0500000000002
"Blondesddsl père et fils",France,Strasbourg,2014,6,143,3212.8,340.44,2872.36
Frankenversand,Germany,München,2014,6,35,1257.3,73.3,1184
"Folk och fä HB",Sweden,Bräcke,2014,6,60,2844.5,484.42,2360.08
"Reggiani Caseifici",Italy,"Reggio Emilia",2014,6,30,543,45.9,497.1
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2014,6,95,965,120.86,844.14
"Rattlesnake Canyon Grocery",USA,Albuquerque,2014,6,112,2276.5,159.20999999999998,2117.29
"Mère Paillarde",Canada,Montréal,2014,6,118,3306,392.28000000000003,2913.72
"Hungry Owl All-Night Grocers",Ireland,Cork,2014,6,103,3109,101.91,3007.09
"Galería del gastrónomo",Spain,Barcelona,2014,6,5,155,6.54,148.46
"Ernst Handel",Austria,Graz,2014,6,39,647.75,52.12,595.63
"Berglunds snabbköp",Sweden,Luleå,2014,6,87,1565.6499999999999,465.72,1099.9299999999998
"Antonio Moreno Taquería",Mexico,"Mexico City",2014,6,83,2082,254.52,1827.48
"Trail's Head Gourmet Provisioners",USA,Kirkland,2014,6,80,1333.3,226.63,1106.67
"Morgenstern Gesundkost",Germany,Leipzig,2014,6,58,2147.4,509.36,1638.04
"Tortuga Restaurante",Mexico,"Mexico City",2014,6,51,838.45,55.67999999999999,782.7700000000001
"B's Beverages",UK,London,2014,6,26,477,59.2,417.8
"Let's Stop N Shop",USA,"San Francisco",2014,6,31,317.75,27.46,290.29
"Ottilies Käseladen",Germany,Köln,2014,6,54,1067.1,227.67000000000002,839.4299999999998
"Familia Arquibaldo",Brazil,"Sao Paulo",2014,6,50,387.5,3.01,384.49
"Blauer See Delikatessen",Germany,Mannheim,2014,6,18,330,55.42,274.58
"Wartian Herkku",Finland,Oulu,2014,6,44,2413.9,21.84,2392.06
"Wellington Importadora",Brazil,Resende,2014,7,15,142.5,13.41,129.09
"Reggiani Caseifici",Italy,"Reggio Emilia",2014,7,4,28,0.48,27.52
"Que Delícia",Brazil,"Rio de Janeiro",2014,7,46,807.38,187.56,619.8199999999999
QUICK-Stop,Germany,Cunewalde,2014,7,140,3900,389.34,3510.66
"Great Lakes Food Market",USA,Eugene,2014,7,93,6754,489.06999999999994,6264.93
"Mère Paillarde",Canada,Montréal,2014,7,215,5466,1606.06,3859.94
Vaffeljernet,Denmark,Århus,2014,7,79,877.5,170.67999999999998,706.82
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2014,7,75,3036.65,586.8,2449.8500000000004
"Old World Delicatessen",USA,Anchorage,2014,7,54,565.5,10.48,555.02
"Ernst Handel",Austria,Graz,2014,7,215,6300,290.34000000000003,6009.66
"White Clover Markets",USA,Seattle,2014,7,59,1476.1,49.019999999999996,1427.08
"Piccolo und mehr",Austria,Salzburg,2014,7,67,800.1,105.35999999999999,694.74
"Rattlesnake Canyon Grocery",USA,Albuquerque,2014,7,59,2388.5,88.84,2299.66
"B's Beverages",UK,London,2014,7,10,493,29.98,463.02
"Hungry Coyote Import Store",USA,Elgin,2014,7,34,479.8,90.26,389.54
HILARION-Abastos,Venezuela,"San Cristóbal",2014,7,143,2643,132.82,2510.18
"Save-a-lot Markets",USA,Boise,2014,7,549,14358.400000000001,3819.14,10539.260000000002
"Furia Bacalhau e Frutos do Mar",Portugal,Lisboa,2014,7,16,256.5,14.92,241.58
"Tradição Hipermercados",Brazil,"Sao Paulo",2014,7,50,1413,238.20000000000002,1174.8
"Toms Spezialitäten",Germany,Münster,2014,7,28,1064,27.79,1036.21
"Du monde entier",France,Nantes,2014,7,19,424,5.550000000000001,418.45
"La maison d'Asie",France,Toulouse,2014,7,21,399,26.78,372.22
"Wolski  Zajazd",Poland,Warszawa,2014,7,31,808,241.95000000000002,566.05
"Blauer See Delikatessen",Germany,Mannheim,2014,7,27,464,5.79,458.21
"Wilman Kala",Finland,Helsinki,2014,7,5,120,0.75,119.25
"Mère Paillarde",Canada,Montréal,2014,8,187,3957.5,646.14,3311.36
"Laughing Bacchus Wine Cellars",Canada,Vancouver,2014,8,10,57.5,1.88,55.62
"Island Trading",UK,Cowes,2014,8,50,758.5,94.92,663.58
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2014,8,68,987.5,130.44,857.06
Frankenversand,Germany,München,2014,8,94,1429.75,485.90000000000003,943.8499999999999
"The Cracker Box",USA,Butte,2014,8,26,1393.24,284.4,1108.8400000000001
"Ana Trujillo Emparedados y helados",Mexico,"Mexico City",2014,8,18,479.75,131.7,348.05
"Berglunds snabbköp",Sweden,Luleå,2014,8,52,1503.6,416.07,1087.53
"Save-a-lot Markets",USA,Boise,2014,8,50,1264.5,214.92,1049.58
"Blondesddsl père et fils",France,Strasbourg,2014,8,25,450,30.36,419.64
"Godos Cocina Típica",Spain,Sevilla,2014,8,29,2775.05,170.92,2604.13
"Königlich Essen",Germany,Brandenburg,2014,8,47,918,64.7,853.3
"La maison d'Asie",France,Toulouse,2014,8,8,62,0.87,61.13
"Die Wandernde Kuh",Germany,Stuttgart,2014,8,85,1565,129.86,1435.1399999999999
"Ernst Handel",Austria,Graz,2014,8,164,6483.05,1911.6,4571.450000000001
"Folies gourmandes",France,Lille,2014,8,102,4985.5,1949.52,3035.98
"Magazzini Alimentari Riuniti",Italy,Bergamo,2014,8,65,1380.25,142.38,1237.87
"Wartian Herkku",Finland,Oulu,2014,8,31,629.5,2.3,627.2
"Queen Cozinha",Brazil,"Sao Paulo",2014,8,95,2896.25,603.87,2292.38
LINO-Delicateses,Venezuela,"I. de Margarita",2014,8,101,2720.05,475.32,2244.73
"Santé Gourmet",Norway,Stavern,2014,8,8,500,38.64,461.36
HILARION-Abastos,Venezuela,"San Cristóbal",2014,8,110,2054,359.22,1694.78
"Simons bistro",Denmark,Kobenhavn,2014,8,50,870,83.78,786.22
"Alfreds Futterkiste",Germany,Berlin,2014,8,38,1086,88.38,997.62
"Wellington Importadora",Brazil,Resende,2014,8,45,1422,0.42000000000000004,1421.58
